city,airport_name,airport_code,country,type
Delhi,Indira Gandhi International Airport,DEL,India,domestic
Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM,India,domestic
Bengaluru,Kempegowda International Airport,BLR,India,domestic
Chennai,Chennai International Airport,MAA,India,domestic
Hyderabad,Rajiv Gandhi International Airport,HYD,India,domestic
Kolkata,Netaji Subhas Chandra Bose International Airport,CCU,India,domestic
Pune,Pune Airport,PNQ,India,domestic
Goa (Dabolim),Dabolim Airport,GOI,India,domestic
Goa (Mopa),Manohar International Airport,GOX,India,domestic
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,India,domestic
Lucknow,Chaudhary Charan Singh International Airport,LKO,India,domestic
Jaipur,Jaipur International Airport,JAI,India,domestic
Kochi,Cochin International Airport,COK,India,domestic
Chandigarh,Shaheed Bhagat Singh International Airport,IXC,India,domestic
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,India,domestic
Indore,Devi Ahilya Bai Holkar Airport,IDR,India,domestic
Patna,Jay Prakash Narayan Airport,PAT,India,domestic
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG,India,domestic
Srinagar,Srinagar Airport,SXR,India,domestic
Amritsar,Sri Guru Ram Das Ji International Airport,ATQ,India,domestic
Varanasi,Lal Bahadur Shastri Airport,VNS,India,domestic
Bhubaneswar,Biju Patnaik Airport,BBI,India,domestic
Ranchi,Birsa Munda Airport,IXR,India,domestic
Visakhapatnam,Visakhapatnam Airport,VTZ,India,domestic
Coimbatore,Coimbatore International Airport,CJB,India,domestic
Thiruvananthapuram,Thiruvananthapuram International Airport,TRV,India,domestic
Mangaluru,Mangalore International Airport,IXE,India,domestic
Dehradun,Dehradun Airport,DED,India,domestic
Udaipur,Maharana Pratap Airport,UDR,India,domestic
Surat,Surat International Airport,STV,India,domestic
Vadodara,Vadodara Airport,BDQ,India,domestic
Rajkot,Rajkot International Airport,RAJ,India,domestic
Madurai,Madurai International Airport,IXM,India,domestic
Tiruchirappalli,Tiruchirappalli International Airport,TRZ,India,domestic
Vijayawada,Vijayawada International Airport,VGA,India,domestic
Kozhikode,Calicut International Airport,CCJ,India,domestic
Jammu,Jammu Airport,IXJ,India,domestic
Raipur,Swami Vivekananda Airport,RPR,India,domestic
Bhopal,Raja Bhoj Airport,BHO,India,domestic
Jodhpur,Jodhpur Airport,JDH,India,domestic
Agartala,Maharaja Bir Bikram Airport,IXA,India,domestic
Imphal,Imphal Airport,IMF,India,domestic
Leh,Kushok Bakula Rimpochee Airport,IXL,India,domestic
Bagdogra,Bagdogra Airport,IXB,India,domestic
Kannur,Kannur International Airport,CNN,India,domestic
Aurangabad,Aurangabad Airport,IXU,India,domestic
Tirupati,Tirupati Airport,TIR,India,domestic
Dibrugarh,Dibrugarh Airport,DIB,India,domestic
Jorhat,Jorhat Airport,JRH,India,domestic
Silchar,Silchar Airport,IXS,India,domestic
Dharamshala,Kangra Airport,DHM,India,domestic
Darbhanga,Darbhanga Airport,DBR,India,domestic
Gaya,Gaya International Airport,GAY,India,domestic
